SIC,,,
,,,
"Division A: Agriculture, Forestry, And Fishing",,,
0100,Agricultural production-crop,,
0110,,Cash grains,
0111,,,Wheat
0112,,,Rice
0115,,,Corn
0116,,,Soybeans
0119,,,"Cash grains, nec"
0130,,"Field crops, except cash grains",
0131,,,Cotton
0132,,,Tobacco
0133,,,Sugarcane and sugar beets
0134,,,Irish potatoes
0139,,,"Field crops, except cash grains, nec"
0160,,Vegetables and melons,
0161,,,Vegetables and melons
0170,,Fruits and tree nuts,
0171,,,Berry crops
0172,,,Grapes
0173,,,Tree nuts
0174,,,Citrus fruits
0175,,,Deciduous tree fruits
0179,,,"Fruits and tree nuts, nec"
0180,, Horticultural specialties,
0181,,,Ornamental nursery products
0182,,,Food crops grown under cover
0189,,, Horticultural specialties
190,,"General farms, primarily crop",
0191,,,"General farms, primarily crop"
0200,"Agricultural production, livestock and animal specialties",,
0210,,"Livestock, except dairy and poultry",
0211,,,Beef cattle feedlots
0212,,,"Beef cattle, except feedlots"
0213,,,Hogs
0214,,,Sheep and goats
0219,,,"General livestock, nec"
0240,,Dairy farms,
0241,,,Dairy farms
0250,,Poultry and eggs,
0251,,,"Broiler, fryer, and roaster chickens"
0252,,,Chicken eggs
0253,,,Turkeys and turkey eggs
0254,,,Poultry hatcheries
0259,,,"Poultry and eggs, nec"
0270,,Animal specialties,
0271,,,Fur-bearing animals and rabbits
0272,,,Horses and other equines
0273,,,Animal aquaculture
0279,,,"Animal specialties, nec"
0290,,"General farms, primarily livestock and animal specialties",
0291,,,"General farms, primarily animal"
0700,Agricultural services,,
0710,,Soil preparation services,
0711,,,Soil preparation services
0720,,Crop Services,
0721,,,Crop planting and protecting
0722,,,Crop harvesting
0723,,,Crop preparation services for market
0724,,,Cotton ginning
0729,,,General crop services
0740,,Veterinary services ,
0741,,,Veterinary services for livestock
0742,,,"Veterinary services, specialties"
0750,,"Animal services, except veterinary",
0751,,,"Livestock services, exc. veterinary"
0752,,,Animal specialty services
0760,,Farm labor and management services,
0761,,,Farm labor contractors
0762,,,Farm management services
0780,,Landscape and horticultural services,
0781,,,Landscape counseling and planning
0782,,,Lawn and garden services
0783,,,Ornamental shrub and tree services
0800,Forestry,,
0810,,Timber tracts,
0811,,,Timber tracts
0820,,Forest nurseries and tree seed gathering and extracting,
0821,,Forest nurseries and tree seed gathering and extracting,
0830,,Forest nurseries and gathering of forest products,
0831,,,Forest products
0840,,"Gathering of miscellaneous forest products, except tree seeds",
0843,,,Extraction of pine gum
0849,,,Gathering of forest products
0850,,Forestry services,
0851,,,Forestry services
0900,"Fishing, hunting, and trapping",,
0910,,Commercial fishing,
0912,,,Finfish
0913,,,Shellfish
0919,,,Miscellaneous marine products
0920,,Fish hatcheries and preserves,
0921,,,Fish hatcheries and preserves
0970,,"Hunting, trapping, game propagation",
0971,,,"Hunting, trapping, game propagation"
,,,
Division B: Mining,,,
1000,Metal mining,,
1010,,Iron ores,
1011,,,Iron ores
1020,,Copper ores,
1021,,,Copper ores
1030,,Lead and zinc ores,
1031,,,Lead and zinc ores
1040,,Gold and silver ores,
1041,,,Gold ores
1044,,,Silver ores
1050,,Bauxite and other aluminum ores,
1051,,,Bauxite and other aluminum ores
1060,,"Ferroalloy ores, except vanadium",
1061,,,"Ferroalloy ores, except vanadium"
1080,,Metal mining services,
1081,,,Metal mining services
1090,,Miscellaneous metal ores,
1092,,,Mercury ores
1094,,,Uranium-radium-vanadium ores
1099,,,"Metal ores, nec"
1100,Anthracite mining,,
1110,,Anthracite mining,
1111,,,Anthracite
1112,,,Anthracite mining services
1200,Coal Mining,,
1210,,Bituminous coal and lignite mining,
1211,,,Bituminous coal and lignite 
1213,,,Bituminous coal and lignite mining services
1220,,Bituminous coal and lignite mining,
1221,,,Bituminous coal and lignite surface mining
1222,,,Bituminous coal underground mining
1230,,Anthracite mining,
1231,,,Anthracite mining
1240,,Coal mining services,
1241,,,Coal mining services
1300,Oil and gas extraction,,
1310,,Crude petroleum and natural gas,
1311,,,Crude petroleum and natural gas
1320,,Natural gas liquids,
1321,,,Natural gas liquids
1380,,Oil and gas field services,
1381,,,Drilling oil and gas wells
1382,,,Oil and gas exploration services
1389,,,"Oil and gas field services, nec"
1400,"Mining and quarrying of nonmetallic minerals, except fuels",,
1410,,Dimension stone,
1411,,,Dimension stone
1420,,"Crushed and broken stone, including riprap",
1422,,,Crushed and broken limestone
1423,,,Crushed and broken granite
1429,,,"Crushed and broken stone, nec"
1440,,Sand and gravel,
1442,,,Construction sand and gravel
1446,,,Industrial sand
1450,,"Clay, ceramic, and refractory minerals",
1452,,,Bentonite
1453,,,Fire clay
1454,,,Fuller's earth
1455,,,Kaolin and ball clay
1459,,,Clay and related minerals
1470,,Chemical and fertilizer mineral mining,
1472,,,Barite
1473,,,Fluorspar
1474,,,"Potash, soda, and borate minerals"
1475,,,Phosphate rock
1476,,,Rock salt
1477,,,Sulfur
1479,,,"Chemical and fertilizer mining, nec"
1480,,"Nonmetallic minerals services, except fuels",
1481,,,Nonmetallic minerals services
1490,,"Miscellaneous nonmetallic minerals, except fuels",
1492,,,Gypsum
1496,,,"Talc, soapstone, and pyrophyllite"
1499,,,Miscellaneous nonmetallic minerals
